x y
0.74729560 -0.01502155
0.74623693 -0.01558587
0.74528035 -0.01616870
0.74444322 -0.01677094
0.74370888 -0.01738665
0.74306580 -0.01800349
0.74252928 -0.01861694
0.74206422 -0.01922837
0.74168460 -0.01982973
0.74139318 -0.02040857
0.74116834 -0.02095871
0.74101906 -0.02148651
0.74094116 -0.02199479
0.74091870 -0.02248097
0.74094453 -0.02291965
0.74101042 -0.02331062
0.74110599 -0.02366951
0.74122237 -0.02400620
0.74134598 -0.02430663
0.74147422 -0.02456776
0.74161683 -0.02480894
0.74180389 -0.02506700
0.74205542 -0.02534215
0.74237732 -0.02562540
0.74275984 -0.02589807
0.74321673 -0.02614596
0.74376432 -0.02635106
0.74440034 -0.02654597
0.74512667 -0.02674014
0.74595760 -0.02690071
0.74689934 -0.02703882
0.74795769 -0.02718932
0.74914876 -0.02734414
0.75048700 -0.02751223
0.75198748 -0.02770039
0.75366756 -0.02791029
0.75554632 -0.02814504
0.75764284 -0.02841143
0.75997779 -0.02871749
0.76257369 -0.02906371
0.76545403 -0.02944752
0.76864244 -0.02986937
0.77216217 -0.03033325
0.77603553 -0.03084304
0.78028394 -0.03140307
0.78492611 -0.03201977
0.78997813 -0.03269964
0.79545248 -0.03343974
0.80135718 -0.03424293
0.80769066 -0.03513343
0.81444899 -0.03610000
0.82161646 -0.03715288
0.82917187 -0.03829718
0.83708145 -0.03954869
0.84530358 -0.04090799
0.85379036 -0.04237763
0.86248132 -0.04397007
0.87131442 -0.04567810
0.88022212 -0.04750174
0.88912826 -0.04944609
0.89796371 -0.05149668
0.90665938 -0.05364078
0.91514616 -0.05587132
0.92336358 -0.05817356
0.93126924 -0.06050502
0.93880894 -0.06286550
0.94595442 -0.06523303
0.95267977 -0.06757349
0.95897398 -0.06986423
0.96483706 -0.07207294
0.97027293 -0.07417577
0.97527846 -0.07619087
0.97984265 -0.07816303
0.98401183 -0.08001274
0.98785275 -0.08163565
0.99135206 -0.08311061
0.99452862 -0.08444971
0.99740519 -0.08566182
